,importance
UrbanRural,77379.85110199451
RevLineCr_label,76271.89313538074
LowDoc_label,66989.70598444939
Term,34240.24257729053
NoEmp,28551.699413061142
BankState,23477.822278761865
CreateJob,19658.82370362282
NoEmp_main_key_NoEmp_label_med,19021.608598899842
NoEmp_label,17966.71533226967
State,17657.678100204466
CreateJob_main_key_City_diff,15778.75552201271
RetainedJob,14831.076687312125
NoEmp_main_key_City_diff,14435.941185331345
NoEmp_main_key_State_diff,14262.704472446443
SBA_Appv,13755.926545858383
ApprovalFY,12754.764380526542
DisbursementGross_main_key_NoEmp_label_med,11617.779311418533
NewExist,11412.940265870095
CreateJob_main_key_NoEmp_label_diff,11370.036984562874
RetainedJob_main_key_City_diff,11253.29902510643
SBA_Appv_main_key_NoEmp_label_med,11144.218235254288
svd_City_truncatedsvd16,10542.579500460624
DisbursementGross,10270.959241700171
RetainedJob_main_key_State_diff,10079.42083940506
RetainedJob_main_key_NoEmp_label_diff,10052.542747449876
FranchiseCode,9981.699910712243
GrAppv,9402.958074116706
GrAppv_main_key_NoEmp_label_med,9381.504470181464
SBA_Appv_main_key_State_diff,9226.133236837388
CreateJob_main_key_State_diff,9200.770804905891
svd_City_truncatedsvd0,8818.80280482769
SBA_Appv_main_key_City_diff,8537.909991192817
SBA_Appv_main_key_NoEmp_label_diff,8458.77937991619
City_label,8447.096121311188
DisbursementGross_main_key_NoEmp_label_diff,8226.66546907425
Sector,7973.241155600548
GrAppv_main_key_City_diff,7235.071902394295
DisbursementGross_main_key_City_diff,7048.9045237064365
DisbursementGross_main_key_State_diff,6964.235065984725
GrAppv_main_key_NoEmp_label_diff,6808.519559645652
RetainedJob_main_key_NoEmp_label_med,6786.905048918724
svd_City_truncatedsvd6,6329.810198712348
svd_City_truncatedsvd1,6159.867070579528
svd_City_truncatedsvd7,6018.248434352875
svd_City_truncatedsvd5,5779.890056276321
GrAppv_main_key_State_diff,5511.400840187072
svd_City_truncatedsvd3,5245.268426442146
svd_City_truncatedsvd2,5244.09846045971
svd_City_truncatedsvd13,5212.861897158623
svd_City_truncatedsvd15,4974.769861364364
svd_City_truncatedsvd9,4959.77660768032
svd_City_truncatedsvd12,4821.1004939079285
svd_City_truncatedsvd10,4745.899472975731
svd_City_truncatedsvd4,4704.7529475212095
svd_City_truncatedsvd8,4622.247092795373
NoEmp_main_key_NoEmp_label_diff,4410.439106035232
svd_City_truncatedsvd11,4398.779870629311
CreateJob_main_key_NoEmp_label_med,4303.612099695206
SBA_Appv_main_key_State_med,4226.414745688438
svd_City_truncatedsvd14,3756.6128976821897
DisbursementGross_main_key_State_med,3684.2978878259664
SBA_Appv_main_key_City_med,3000.5074902772903
GrAppv_main_key_State_med,2917.5158420324324
nmf_City_nmf14,2521.2253466129305
GrAppv_main_key_City_med,2162.335496258736
nmf_City_nmf16,2033.1157890081406
DisbursementGross_main_key_City_med,1888.4141822099684
NoEmp_main_key_State_med,1288.7221329927445
nmf_City_nmf2,1221.8556735992433
nmf_City_nmf7,1214.1416810035705
nmf_City_nmf0,590.9644535064697
RetainedJob_main_key_State_med,574.4126065254211
NoEmp_main_key_City_med,561.215721821785
nmf_City_nmf15,526.5147826910019
RetainedJob_main_key_City_med,410.94830052852626
CreateJob_main_key_City_med,334.201650595665
nmf_City_nmf12,257.69203410148623
CreateJob_main_key_State_med,111.88113038539886
nmf_City_nmf3,103.52407000064849
nmf_City_nmf10,81.36167380809783
nmf_City_nmf5,73.94603197574617
nmf_City_nmf4,33.768387746810916
nmf_City_nmf9,29.927764081954955
nmf_City_nmf8,19.87683205604553
nmf_City_nmf13,16.923734045028688
nmf_City_nmf1,13.657578039169312
nmf_City_nmf11,10.579932117462157
nmf_City_nmf6,9.522992086410522
